age_head,DSI,EIC,FLPDYR,f2441,f6251,MARS,XTOT,e00200,e00300,e00400,e00600,e00700,e00800,e00900,e01200,e01700,e01400,e02000,e02100,e02300,e02400,e03150,e03300,e03400,e03500,e03270,e07300,e07400,e07600,e09700,e09800,e09900,e11200,e17500,e18500,e19200,e20100,e19800,e20500,e20400,e27200,e26270,e32800,MIDR,n24,e00650,e01100,e03210,e03220,e03230,e03240,e03290,e07240,e07260,p08000,e18400,p22250,p23250,e24515,e24518,p25470,e58990,e62900,e87530,RECID,s006,p87521,age_spouse,e00200p,e00900p,e02100p,filer
99,0,0,1991,0,1,2,2,38500,432000,0,36200,0,0,-447400,0,0,0,-8459000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1845,0,0,-3300560.684,-703488.05,0,-3905588.241,-2710427.588,-3192699.253,-92815.485,-3753483.867,-957437.05,-2758844.702,-628977.818,-1317280.22,-2739419.737,-4278524.887,-3645063.643,-1373503.485,-3085206.717,-1405505.242,-4156730.926,-1752545.899,-24899.226,-3287093.321,-3477657.993,0,0,38500,-447400,0,11
99,0,0,1991,0,1,3,1,0,266700,0,0,0,0,0,0,0,0,-29810000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1325000,0,0,-3145377.968,-670412.098,0,-3721958.898,-2582991.205,-3042587.867,-88451.572,-3577006.028,-912421.159,-2629131.889,-599405.119,-1255345.555,-2610620.229,-4077361.154,-3473683.405,-1308925.366,-2940149.315,-1339422.494,-3961293.588,-1670146.314,-23728.537,-3132543.801,-3314148.68,0,0,0,0,0,12
99,0,0,1991,0,1,2,5,0,7590,0,4483,0,0,0,0,0,0,-24480,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24480,0,0,-2968235.434,-632655.587,0,-3512344.271,-2437521.373,-2871234.303,-83470.124,-3375554.908,-861035.094,-2481063.488,-565647.605,-1184646.55,-2463594.374,-3847730.854,-3278051.247,-1235208.834,-2774564.923,-1263988.414,-3738200.023,-1576086.41,-22392.185,-2956124.066,-3127501.256,0,0,0,0,0,13
99,0,0,1991,0,1,2,9,0,552900,0,2114,10590,0,0,0,0,0,-9959000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,123100,0,-2887716.1,-615493.537,0,-3417064.895,-2371398.721,-2793346.319,-81205.83,-3283986.218,-837677.792,-2413759.67,-550303.28,-1152510.638,-2396764.441,-3743353.444,-3189127.538,-1201701.319,-2699299.29,-1229700.195,-3636793.857,-1533331.908,-21784.752,-2875933.278,-3042661.518,0,0,0,0,0,14
99,0,0,1991,0,1,2,5,0,220400,1027,110900,8497,0,0,0,0,0,-13190000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23580,0,0,-2719357.494,-579609.249,0,-3217844.382,-2233142.269,-2630489.627,-76471.396,-3092524.411,-788839.796,-2273033.504,-518219.692,-1085317.369,-2257029.125,-3525109.771,-3003196.148,-1131640.152,-2541925.693,-1158006.648,-3424762.783,-1443936.131,-20514.665,-2708261.629,-2865269.338,0,0,0,0,0,15
99,0,0,1991,0,1,3,1,0,1956000,0,225900,44960,0,0,0,0,0,-23770000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5731000,0,0,-2650550.063,-564943.497,0,-3136423.824,-2176637.458,-2563930.804,-74536.454,-3014274.802,-768879.92,-2215519.332,-505107.269,-1057855.772,-2199919.909,-3435914.53,-2927206.798,-1103006.458,-2477607.789,-1128705.807,-3338106.605,-1407400.466,-19995.586,-2639734.955,-2792769.925,0,0,0,0,0,16
99,0,0,1991,0,1,3,1,1676000,4876000,0,11290,1822,0,0,0,0,0,-10560000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2518791.154,-536860.142,0,-2980512.118,-2068436.755,-2436477.74,-70831.245,-2864435.127,-730658.88,-2105385.811,-479998.375,-1005269.736,-2090561.835,-3265115.134,-2781695.275,-1048175.98,-2354445.844,-1072597.813,-3172169.243,-1337438.554,-19001.605,-2508513.665,-2653941.263,0,0,1676000,0,0,17
99,0,0,1991,0,1,2,2,57380,2669000,0,0,113,0,-1119000,0,4615,0,-5173000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1634000,0,0,-2422899.947,-516421.7,0,-2867043.043,-1989690.689,-2343720.233,-68134.676,-2755385.141,-702842.456,-2025233.082,-461724.679,-966998.787,-2010973.46,-3140811.128,-2675795.222,-1008271.576,-2264811.318,-1031763.662,-3051403.718,-1286521.829,-18278.208,-2413013.726,-2552904.848,0,0,57380,-1119000,0,18
99,0,0,1991,0,1,2,3,0,776400,0,49010,36060,0,-4574000,0,0,0,1784000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,149800,0,0,-2350432.547,-500975.854,0,-2781291.604,-1930180.303,-2273621.047,-66096.811,-2672973.32,-681820.884,-1964659.645,-447914.787,-938076.466,-1950826.519,-3046871.46,-2595763.885,-978114.813,-2197072.248,-1000904.265,-2960138.169,-1248042.777,-17731.518,-2340842.017,-2476549.083,0,0,0,-4574000,0,19
99,0,0,1991,0,1,2,3,237100,1610000,0,807,0,0,0,0,0,0,-5354000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,986100,0,0,-2311636.868,-492706.867,0,-2735384.268,-1898321.207,-2236093.201,-65005.833,-2628853.86,-670566.912,-1932231.442,-440521.612,-922592.8,-1918626.642,-2996580.527,-2552918.825,-961970.283,-2160807.898,-984383.578,-2911278.834,-1227442.881,-17438.846,-2302204.637,-2435671.755,0,0,237100,0,0,20
